,time,City,Confirmed,Death,Recovered,Incidence
0,20210225T00:00:00Z,합계,88516,1581,79487,170.72
1,20210225T00:00:00Z,서울,27857,373,24652,286.20
2,20210225T00:00:00Z,부산,3198,105,2814,93.73
3,20210225T00:00:00Z,대구,8602,213,8264,353.05
4,20210225T00:00:00Z,인천,4376,52,4048,148.03
5,20210225T00:00:00Z,광주,2047,21,1922,140.52
6,20210225T00:00:00Z,대전,1181,15,1123,80.11
7,20210225T00:00:00Z,울산,1004,37,919,87.53
8,20210225T00:00:00Z,세종,218,1,206,63.68
9,20210225T00:00:00Z,경기,23102,482,20513,174.35
10,20210225T00:00:00Z,강원,1848,41,1706,119.96
11,20210225T00:00:00Z,충북,1728,58,1557,108.04
12,20210225T00:00:00Z,충남,2430,35,2085,114.49
13,20210225T00:00:00Z,전북,1148,55,1022,63.17
14,20210225T00:00:00Z,전남,849,8,756,45.53
15,20210225T00:00:00Z,경북,3236,71,3005,121.54
16,20210225T00:00:00Z,경남,2174,10,2080,64.68
17,20210225T00:00:00Z,제주,568,1,538,84.68
18,20210225T00:00:00Z,검역,2950,3,2277,-
19,20210226T00:00:00Z,합계,88906,1585,79880,171.51
20,20210226T00:00:00Z,서울,27989,375,24808,287.55
21,20210226T00:00:00Z,부산,3209,105,2830,94.06
22,20210226T00:00:00Z,대구,8612,213,8275,353.46
23,20210226T00:00:00Z,인천,4391,52,4067,148.54
24,20210226T00:00:00Z,광주,2058,21,1929,141.28
25,20210226T00:00:00Z,대전,1187,15,1126,80.52
26,20210226T00:00:00Z,울산,1005,37,925,87.62
27,20210226T00:00:00Z,세종,219,1,209,63.97
28,20210226T00:00:00Z,경기,23243,484,20631,175.41
29,20210226T00:00:00Z,강원,1854,41,1709,120.35
30,20210226T00:00:00Z,충북,1738,58,1568,108.67
31,20210226T00:00:00Z,충남,2433,35,2107,114.63
32,20210226T00:00:00Z,전북,1164,55,1027,64.05
33,20210226T00:00:00Z,전남,854,8,758,45.80
34,20210226T00:00:00Z,경북,3244,71,3013,122.44
35,20210226T00:00:00Z,경남,2180,10,2083,64.86
36,20210226T00:00:00Z,제주,568,1,538,84.68
37,20210226T00:00:00Z,검역,2958,3,2277,-
38,20210227T00:00:00Z,합계,89321,1595,80333,172.28
39,20210227T00:00:00Z,서울,28120,378,24946,288.90
40,20210227T00:00:00Z,부산,3218,108,2852,94.32
41,20210227T00:00:00Z,대구,8618,213,8284,353.71
42,20210227T00:00:00Z,인천,4418,52,4081,149.45
43,20210227T00:00:00Z,광주,2070,21,1932,142.10
44,20210227T00:00:00Z,대전,1189,15,1132,80.66
45,20210227T00:00:00Z,울산,1008,37,931,87.88
46,20210227T00:00:00Z,세종,220,1,209,64.27
47,20210227T00:00:00Z,경기,23412,487,20773,176.69
48,20210227T00:00:00Z,강원,1860,41,1714,120.74
49,20210227T00:00:00Z,충북,1746,58,1573,109.17
50,20210227T00:00:00Z,충남,2437,35,2139,114.82
51,20210227T00:00:00Z,전북,1184,55,1033,65.15
52,20210227T00:00:00Z,전남,859,8,761,46.07
53,20210227T00:00:00Z,경북,3251,71,3028,122.10
54,20210227T00:00:00Z,경남,2181,11,2092,64.88
55,20210227T00:00:00Z,제주,569,1,538,84.83
56,20210227T00:00:00Z,검역,2961,3,2315,-
